Open,High,Low,Close,Price_5,Price_10,Price_20,Price_60,Price_120,Volume,Volume_5,Volume_10,Volume_20,Volume_60,Volume_120,Volume Ratio,OBV,MACD,MACD_Signal,Momentum,Momentum_Signal,William_R,William_D,Psychology,Psychology_Signal,MFI,MFI_Signal,RSI,RSI_Signal,
111000,111300,105100,106300,107940,104740,102155,105735,133780.83,57748,97297.8,101709.9,96092.8,115691.07,127523.17,163.54,2050250,1316.36,125.15,13300,8453.64,-0.2674,-0.1987,0.6,0.5666,68.4,61.2,0.6873,0.619,
105300,106100,99900,100000,106160,104650,101890,105523.33,133135.83,111086,84330.4,108522.4,96668.1,112944.15,127529.64,130.07,1939164,824.72,265.07,2100,7182.91,-0.8433,-0.521,0.6,0.5707,61.75,61.31,0.5285,0.6009,
98400,100600,93700,98500,104460,104580,101735,105226.67,132477.5,150794,96237.2,115437.8,97464.6,110756.35,128427.92,127.65,1788370,310.47,274.15,-5700,4606.33,-0.7273,-0.6241,0.6,0.5744,52.49,59.54,0.4112,0.563,
100000,102700,98200,98700,102660,104520,101790,104851.67,131822.5,85592,100255.8,113979.2,95963.7,109220.48,128462.93,159.13,1873962,-80.01,203.32,-6200,2445.06,-0.7159,-0.67,0.6,0.5776,51.72,57.98,0.4019,0.5307,
100400,103000,99700,100300,100760,104220,102105,104678.33,131165,50754,91194.8,101505.5,94725.1,106649.73,128070.36,184.83,1924716,-257.4,111.17,-1400,1676.05,-0.625,-0.6475,0.6,0.5804,55.96,57.58,0.4767,0.5199,
101500,104100,101200,102600,100020,103980,102460,104390,130428.33,45891,88823.4,93060.6,94586,104755.45,127019.61,184.41,1970607,-209.96,46.95,1700,1680.84,-0.4943,-0.5709,0.6,0.5828,59.04,57.87,0.527,0.5213,
102600,102600,100000,101300,100280,103220,102875,104143.33,129668.33,34362,73478.6,78904.5,93345.25,103857.48,126236.92,191.56,1936245,-274.11,-17.27,2100,1764.67,-0.5682,-0.5695,0.5,0.5725,60.96,58.49,0.5338,0.5238,
102100,102100,100300,101700,100920,102690,103065,103856.67,128815.83,21406,47601,71919.1,90863.65,103120.37,124961.8,183.81,1957651,-289.34,-71.68,2400,1891.74,-0.5455,-0.5575,0.6,0.5759,66.11,60.01,0.5382,0.5267,
101700,102000,98400,98600,100900,101780,102785,103380,128054.17,55509,41584.4,70920.1,87402.25,101001.68,124249.33,151.22,1902142,-545.27,-166.4,-4700,573.39,-0.7216,-0.6395,0.5,0.5664,58.1,59.63,0.423,0.506,
98600,99800,98300,99000,100640,100700,102490,102955,127320,24299,36293.4,63744.1,83363.05,99562.83,123223.31,139.61,1926441,-707.66,-274.65,-6000,-741.29,-0.6989,-0.6692,0.5,0.5581,51.68,58.04,0.3973,0.4842,
100500,102900,99200,102900,100700,100360,102550,102590,126616.67,65450,40205.2,64514.3,83112.1,99532.35,122575.15,165.81,1991891,-515.71,-322.86,-6000,-1793.03,-0.4773,-0.5732,0.6,0.5634,45.61,55.55,0.3973,0.4668,
103700,107900,100500,102000,100840,100560,102605,102195,125931.67,116764,56685.6,65082.1,86802.25,100125.08,122866.52,148.3,1875127,-431.24,-344.54,-5000,-2434.42,-0.5284,-0.5508,0.6,0.5679,56.58,55.76,0.4113,0.4557,
102000,105700,102000,105200,101540,101230,102905,101948.33,125344.17,52779,62960.2,55280.6,85359.2,99677.92,122622.21,176.46,1927906,-104.88,-296.61,-2500,-2447.54,-0.3466,-0.4487,0.7,0.5845,55.89,55.79,0.4593,0.4564,
106500,106600,103100,103700,102560,101730,103125,101735,124662.5,37854,59429.2,50506.8,82243,98900.6,122035.98,150.98,1890052,32.36,-230.81,-6100,-3178.03,-0.4318,-0.4403,0.6,0.5864,52.74,55.18,0.3987,0.4449,
103900,107400,103900,107300,104220,102430,103325,101650,124048.33,92152,72999.8,54646.6,78076.05,97432.6,122177.82,138.26,1982204,426.69,-99.31,1000,-2342.43,-0.0423,-0.2413,0.6,0.5881,60.97,56.34,0.5166,0.4592,
106900,107300,104600,105800,104800,102750,103365,101646.67,123396.67,82912,76492.2,58348.7,75704.65,97139.3,122367.01,105.08,1899292,611.12,42.77,5800,-713.94,-0.1479,-0.1946,0.5,0.5771,62.64,57.6,0.6142,0.4902,
105800,106200,103800,104700,105340,103090,103155,101716.67,122765.83,53264,63792.2,60238.9,69571.7,95921.97,122272.8,75.79,1846028,660.9,166.4,6200,668.85,-0.3299,-0.2622,0.5,0.5674,69.42,59.96,0.624,0.517,
104200,107100,104200,106000,105500,103520,103105,101733.33,122258.33,57934,64823.2,63891.7,67905.4,95337.07,120895.85,93.93,1903962,796.08,292.33,7300,1995.08,-0.1979,-0.2301,0.5,0.559,68.51,61.67,0.6398,0.5415,
106000,109700,106000,109000,106560,104560,103170,101708.33,121833.33,75507,72353.8,65891.5,68405.8,94438.18,119578.64,95.36,1979469,1132.23,460.31,8700,3336.06,-0.0614,-0.1457,0.6,0.5641,69.64,63.27,0.6582,0.5649,
