Price,William's %R,Roc,Momentum,RSI,CCI,ADX,TRIX,MACD,OBV,_TSF_,ATR,MFI
286000,-0.56,99.13,-1500,0.4595,-24.18,0.4557,-0.15,-2512.34,-1168788,283571.43,2607.14,27.22
288000,-0.4,100,500,0.5122,65.23,0.402,-0.15,-2170.99,-1093292,284340.66,2857.14,33.25
287500,-0.44,99.83,-1000,0.475,88.64,0.3554,-0.14,-1918.7,-1148114,285126.37,2857.14,32.63
287000,-0.48,100,-1000,0.475,65.12,0.3218,-0.13,-1739.06,-1190982,285714.29,2964.29,31.61
286500,-0.52,100.17,-1500,0.4634,30.32,0.2995,-0.12,-1618.38,-1226721,286192.31,3000,31.68
285500,-0.6,100,-1500,0.4634,-10.77,0.2872,-0.11,-1585.16,-1278522,286258.24,3035.71,31.61
284500,-0.68,99.3,-1500,0.4634,-92.37,0.3001,-0.1,-1620.84,-1351676,285912.09,3035.71,34.07
285500,-0.6,100,0,0.5,-46.03,0.3112,-0.1,-1550.55,-1308175,285813.19,3071.43,37.58
284500,-0.68,99.13,-2000,0.4524,-57.96,0.3209,-0.09,-1557.58,-1352736,285604.4,3071.43,33.38
286500,-0.52,99.83,1000,0.5227,4.46,0.3024,-0.08,-1385.8,-1303188,285857.14,3142.86,37.79
288000,-0.4,102.49,1000,0.5227,97.4,0.2697,-0.08,-1115.76,-1249133,286769.23,3178.57,37.02
286500,-0.52,101.42,-500,0.4894,31.69,0.2413,-0.07,-1011.13,-1326584,287219.78,3285.71,32.64
282000,-0.7895,98.6,1000,0.5227,-173.44,0.2774,-0.06,-1276.61,-1523494,285346.15,2857.14,38.94
280000,-0.95,97.22,-2500,0.4444,-229.63,0.3116,-0.07,-1629.6,-1641270,283131.87,2785.71,39.38
279500,-0.9524,97.22,-6500,0.3333,-182.4,0.3444,-0.08,-1927.48,-1713169,281472.53,2428.57,28.29
279000,-1,97.21,-9000,0.25,-149.52,0.3728,-0.09,-2178.78,-1784696,280236.26,2178.57,20.7
277500,-0.9565,96.86,-10000,0.2368,-137.79,0.4098,-0.1,-2470.49,-1893176,278780.22,2250,14.32
277000,-1,97.02,-10000,0.2368,-125.66,0.4419,-0.11,-2710.78,-1952269,277423.08,2178.57,14.13
274500,-0.8485,96.49,-12000,0.2143,-146.94,0.4889,-0.13,-3067.57,-2120875,275593.41,2464.29,12.6
275500,-0.7879,96.5,-10000,0.2619,-116.88,0.5296,-0.14,-3232.38,-2065404,274269.23,2535.71,17.15
275000,-0.8182,96.66,-9500,0.2683,-93.37,0.5524,-0.16,-3364.56,-2115773,272956.04,2464.29,21.74
272500,-0.9697,95.11,-13000,0.2045,-114.55,0.5815,-0.17,-3629.2,-2200383,271417.58,2535.71,17.39
272000,-1,94.44,-12500,0.2093,-109.91,0.6081,-0.18,-3835.07,-2306170,269989.01,2571.43,16.6
272500,-0.9697,95.11,-14000,0.15,-97.71,0.6313,-0.19,-3912.77,-2211793,269467.03,2500,13.12
274000,-0.8621,97.16,-14000,0.15,-74.76,0.6363,-0.2,-3809.4,-2134201,270098.9,2464.29,14.55
273000,-0.9231,97.5,-13500,0.1538,-76.94,0.6407,-0.21,-3764.77,-2191573,270642.86,2428.57,14.83
276500,-0.3437,98.93,-5500,0.3514,-54.92,0.6684,-0.2,-3407.7,-1817066,271840.66,2857.14,39.55
276000,-0.3333,98.92,-4000,0.3824,36.52,0.6923,-0.2,-3129,-1931288,272725.27,2928.57,47.9
275500,-0.3214,99.28,-4000,0.3824,17.16,0.7141,-0.19,-2914.87,-1973069,273510.99,2928.57,48.99
276500,-0.25,99.82,-2500,0.4286,66.67,0.7197,-0.17,-2634.11,-1931088,274626.37,2964.29,53.26
279500,0,101.82,2000,0.5526,148.8,0.6695,-0.16,-2144.81,-1851818,276417.58,3035.71,60.59
277500,-0.1481,100.73,500,0.5122,134.88,0.6259,-0.14,-1896.56,-1890881,277483.52,3142.86,61.54
277000,-0.1852,100.73,2500,0.5676,94.84,0.5882,-0.12,-1720.33,-1915334,277950.55,2857.14,69.26
